time	V(x)	V(z)	-V(yn)
1.904289248452895e+00	2.240797e-01	2.323369e+00	5.406185e-01
1.904289370523207e+00	2.240835e-01	2.323362e+00	5.406196e-01
1.904289401040785e+00	2.240845e-01	2.323360e+00	5.406199e-01
1.904289462075942e+00	2.240864e-01	2.323357e+00	5.406204e-01
1.904289477334731e+00	2.240869e-01	2.323356e+00	5.406206e-01
1.904289507852309e+00	2.240879e-01	2.323354e+00	5.406209e-01
1.904289568887465e+00	2.240898e-01	2.323351e+00	5.406215e-01
1.904289690957778e+00	2.240937e-01	2.323344e+00	5.406226e-01
1.904289935098403e+00	2.241014e-01	2.323331e+00	5.406249e-01
1.904290423379653e+00	2.241169e-01	2.323304e+00	5.406293e-01
1.904291399942153e+00	2.241478e-01	2.323251e+00	5.406384e-01
1.904293353067153e+00	2.242096e-01	2.323144e+00	5.406564e-01
1.904297259317153e+00	2.243332e-01	2.322931e+00	5.406925e-01
1.904305071817153e+00	2.245803e-01	2.322504e+00	5.407649e-01
1.904320696817153e+00	2.250740e-01	2.321651e+00	5.409101e-01
1.904351946817153e+00	2.260599e-01	2.319947e+00	5.412025e-01
1.904414446817153e+00	2.280253e-01	2.316549e+00	5.417953e-01
1.904539446817153e+00	2.319306e-01	2.309793e+00	5.430124e-01
1.904789446817153e+00	2.396432e-01	2.296438e+00	5.455746e-01
1.905289446817153e+00	2.547042e-01	2.270349e+00	5.512167e-01
1.906289446817153e+00	2.835815e-01	2.220643e+00	5.646178e-01
1.907289446817152e+00	3.111220e-01	2.174229e+00	5.808994e-01
1.908289446817152e+00	3.377303e-01	2.131131e+00	6.001207e-01
1.909289446817152e+00	3.637770e-01	2.091416e+00	6.223239e-01
1.910289446817152e+00	3.896009e-01	2.055192e+00	6.475371e-01
1.911289446817152e+00	4.155108e-01	2.022605e+00	6.757767e-01
1.912289446817152e+00	4.417869e-01	1.993841e+00	7.070470e-01
1.913289446817152e+00	4.686825e-01	1.969126e+00	7.413375e-01
1.914289446817152e+00	4.964247e-01	1.948722e+00	7.786186e-01
